County,License Number,Operation Type,Nursery Size,Greenhouse Size,Trade Name,Owner Name,Business Phone,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Georeference,New York Zip Codes 2,Counties 2,NYS Municipal Boundaries 2
CLINTON,643705,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",AMBROSE BLACK WALNUT TREES,RICHARD AMBROSE,518-563-7942,16 A,LOZIER PLACE,,,PLATTSBURGH,NY,12901,"{'type': 'Point', 'coordinates': [-73.45586300000001, 44.70825]}",202,2038,4
SARATOGA,413758,Nursery Stock Only,11-100 Acres,,BOBS TREES,EATON ROBERT & DAVID,518-6274260,,KANIA ROAD,,,HAGAMAN,NY,12086,"{'type': 'Point', 'coordinates': [-74.113317, 42.995555]}",1231,2085,379
CHAUTAUQUA,645909,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",FINDLEY LAKE LANDSCAPE & GARDEN SUPPLY LLC,"CHRISTINE SELLSTROM, BRODIE BRIGGS, SCOT",716-969-4968,3093,ROUTE 426,,,FINDLEY LAKE,NY,14736,"{'type': 'Point', 'coordinates': [-79.744342, 42.136601]}",1714,2035,207
DUTCHESS,645883,Nursery Stock Only,10 Acres or Less,,FALCONS FIELDS LLC,CHRISTIAN CHENEY,347-266-6842,200,PELLS ROAD,,,RHINEBECK,NY,12572,"{'type': 'Point', 'coordinates': [-73.856744, 41.957132]}",1006,2040,607
NIAGARA,643704,Nursery Stock Only,10 Acres or Less,,MILTONS LANDSCAPING SERVICE,VIDAL MILTON,716-622-4076,6540,LAKE RD,,,APPLETON,NY,14008,"{'type': 'Point', 'coordinates': [-78.671717, 43.343679]}",484,2131,161
HERKIMER,645996,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",GEOFFREY GILMORE,GEOFFREY GILMORE,315-823-0616,107,BROAT ROAD,,,LITTLE FALLS,NY,13365,"{'type': 'Point', 'coordinates': [-74.920772, 43.03672]}",559,2088,679
CATTARAUGUS,40782,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",GARDEN GATE GREENHOUSE,PATTERSON GARY,716-532-6282,11600,WEST PERRYSBURG ROAD,,,PERRYSBURG,NY,14129,"{'type': 'Point', 'coordinates': [-79.046154, 42.506048]}",1104,2034,345
CHAUTAUQUA,66824,Greenhouse Stock Only,11-100 Acres,"2,001-20,000 SqFt of Glass",SCOTTS FARM,SCOTT KURT AND WILLIAM,716-962-9171,21,CLARK STREET,,,LAKEWOOD,NY,14750,"{'type': 'Point', 'coordinates': [-79.342343, 42.098799]}",1725,2035,224
COLUMBIA,645604,Nursery Stock Only,10 Acres or Less,,QUALITY GARDEN CENTER,PAUL DSOUZA,518-537-3340,4301,ROUTE 9 G,,,GERMANTOWN,NY,12526,"{'type': 'Point', 'coordinates': [-73.89196001599998, 42.13598999800007]}",970,619,519
DUTCHESS,645346,Nursery Stock Only,10 Acres or Less,,ROCKCREST GARDENS INC,PAUL SCHWARZE,845-266-5203,2313,SALT POINT TURNPIKE,,,CLINTON CORNERS,NY,12514,"{'type': 'Point', 'coordinates': [-73.769932, 41.826603]}",959,2040,599
ERIE,144287,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",AMOS ZITTEL &SONS INC,ZITTEL AMOS&SONS INC,716-992-4574,3208,BLEY ROAD,,,EDEN,NY,14057,"{'type': 'Point', 'coordinates': [-78.87271, 42.680276]}",513,2041,293
JEFFERSON,645513,Nursery Stock Only,10 Acres or Less,,GREENS-N-MORE,LINDA LISTER,315-777-3275,131,CASEY ST.,,,WATERTOWN,NY,13601,"{'type': 'Point', 'coordinates': [-75.936459, 43.975596]}",1466,2089,841
COLUMBIA,102344,Combined Nursery and Greenhouse,11-100 Acres,"2,000 SqFt of Glass or Less",MAPLE LANE NURSERY,ASSOCIATED FRUIT GROWERS INC,518-758-7677,3025,ROUTE 9,,,VALATIE,NY,12184,"{'type': 'Point', 'coordinates': [-73.68734, 42.433035]}",14,619,514
ALBANY,644253,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",PICK-A-WEED FARMS,WATT RICHARD & LAURA,518-767-2869,656,STARR RD,,,RAVENA,NY,12143,"{'type': 'Point', 'coordinates': [-73.869905, 42.506428]}",1308,2030,836
ONTARIO,327195,Nursery Stock Only,10 Acres or Less,,HOMESTEAD NURSERY,SHIRK PAUL B,315-789-9759,4902,PREEMPTION ROAD,,,GENEVA,NY,14456,"{'type': 'Point', 'coordinates': [-77.006807, 42.788132]}",233,2133,808
COLUMBIA,644201,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",SCHERER STEPHEN,SCHERER STEPHEN,518-828-7501,385,ROUTE 31,,,HUDSON,NY,12534,"{'type': 'Point', 'coordinates': [-73.806965, 42.186978]}",977,619,513
SUFFOLK,475613,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",FUNFGELD GREENHOUSES,FUNFGELD RITA & AUSTIN,631-727-9616,1611,MIDDLE ROAD,,,CALVERTON,NY,11933,"{'type': 'Point', 'coordinates': [-72.7175, 40.930972]}",1534,2179,1017
WASHINGTON,534182,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",GARDEN BARN THE,RAGGI CINDY AND JOSEPH,518-747-8843,351,"EAST ROAD, ROUTE 42",,,FORT EDWARD,NY,12828,"{'type': 'Point', 'coordinates': [-73.53947100000002, 43.282238]}",92,2184,726
ALLEGANY,22805,Nursery Stock Only,101 Acres or More,,KENT FARMS INC,KENT FARMS INC,607-478-8805,1764,JONES ROAD,,,ANDOVER,NY,14806,"{'type': 'Point', 'coordinates': [-77.823033, 42.170151]}",1753,2031,469
MONROE,260236,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",MAIER FARMS,MAIER MICHAEL & JOSEPH,585-265-3273,450,PHILLIPS ROAD,,,WEBSTER,NY,14580,"{'type': 'Point', 'coordinates': [-77.419608, 43.245581]}",418,2093,534
SUFFOLK,475425,Nursery Stock Only,10 Acres or Less,,OWEN BROTHERS LANDSCAPE DESIGN,OWEN BROTHERS LANDSCAPING DESIGN,631-369-5752,2090,SOUND AVE,,,BAITING HOLLOW,NY,11933,"{'type': 'Point', 'coordinates': [-72.758457, 40.956141]}",1534,2179,1017
ONTARIO,322609,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",TJB GROWERS,BATEMAN SALLY,585-394-3272,3188,ROUTE 5 & 20,,,CANANDAIGUA,NY,14424,"{'type': 'Point', 'coordinates': [-77.166724, 42.860584]}",412,2133,806
RICHMOND,641528,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",SANTACROCE GREENHOUSES INC,SANTACROCE GREENHOUSES INC,718-761-7398,572,W CASWELL AVENUE,,,STATEN ISLAND,NY,10314,"{'type': 'Point', 'coordinates': [-74.156071, 40.616299]}",616,2139,585
GREENE,197051,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",STORY FARMS LLC,STORY FARMS LLC,518-678-9716,4640,ROUTE 32,,,CATSKILL,NY,12414,"{'type': 'Point', 'coordinates': [-73.985591, 42.191158]}",89,2087,760
SUFFOLK,474920,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",ORNAMENTAL PLANTINGS GREENHOUSE,WEISKOTT JACK,631-765-2410,,ROUTE 48,,,SOUTHOLD,NY,11971,"{'type': 'Point', 'coordinates': [-72.422945, 41.05898500000001]}",1132,2179,1012
MONROE,260066,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",SEMMLER FARMS,SEMMLER GORDON,585-671-1737,1063,SHOECRAFT ROAD,,,WEBSTER,NY,14580,"{'type': 'Point', 'coordinates': [-77.46227, 43.201425]}",418,2093,534
SARATOGA,417018,Nursery Stock Only,10 Acres or Less,,LLADYBUG DAYLILIES,SCHEUERMAN KIM,518-884-0265,1115,GOODE ROAD,,,BALLSTON SPA,NY,12020,"{'type': 'Point', 'coordinates': [-73.911724, 43.01391]}",1148,2141,999
ORANGE,643719,Nursery Stock Only,10 Acres or Less,,PJ HOEFFNER PLANTS & PRODUCE,PHILLIP J HOEFFNER,845-457-5140,980,OLD NEELYTOWN RD,,,MONTGOMERY,NY,12549,"{'type': 'Point', 'coordinates': [-74.21620300000001, 41.50938]}",986,2134,893
CATTARAUGUS,644126,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",GARDENS IN THYME,FLORENCE NICHOLS,708-938-6360,5177,BAKER RD,,,SALAMANCA,NY,14779,"{'type': 'Point', 'coordinates': [-78.76306, 42.228603]}",1741,2034,355
STEUBEN,645209,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",STONEY ACRES FARM,JEFFREY AND SUSAN SMALT,607-622-5469,7499,STATE RTE 415N,,,BATH,NY,14810,"{'type': 'Point', 'coordinates': [-77.359403, 42.365222]}",1757,2178,46
CAYUGA,51982,Nursery Stock Only,11-100 Acres,,MILL POND EVGRN NUR,HASS DONALD,315-532-2665,13069,IRA STATTION ROAD,,,MARTVILLE,NY,13111,"{'type': 'Point', 'coordinates': [-76.611978, 43.250694]}",646,618,64
SUFFOLK,475893,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",R&M ANDREWS & SON CORP,R&M ANDREWS & SON CORP,631-929-5963,1038,SOUND AVENUE,,,CALVERTON,NY,11933,"{'type': 'Point', 'coordinates': [-72.801941, 40.950044]}",1534,2179,1017
CLINTON,95860,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",BLACK SHEEP GARDENS,MILLER PAMELA & MILLS JEFFREY,518-493-2637,270,CLARK STREET,,,WEST CHAZY,NY,12992,"{'type': 'Point', 'coordinates': [-73.499901, 44.849195]}",337,2038,10
ST. LAWRENCE,645884,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",GRASSE RIVER BIOHEMP,JOSEPH P EISELE,315-212-6002,6900,CR 27,,,CANTON,NY,13617,"{'type': 'Point', 'coordinates': [-75.20437100699996, 44.643844992000034]}",1478,2140,339
MADISON,250223,Combined Nursery and Greenhouse,11-100 Acres,"2,000 SqFt of Glass or Less",PARADISE GARDENS,MARY LYREK-MIKALUNAS,315-684-3602,4489,BROOKS ROAD,,,MORRISVILLE,NY,13408,"{'type': 'Point', 'coordinates': [-75.693598, 42.938803]}",1270,2092,121
SARATOGA,645382,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",ROCKIN HOPS LLC,ERIC LINENDOLL,518-899-4288,45,CARY ROAD,,,MECHANICVILLE,NY,12118,"{'type': 'Point', 'coordinates': [-73.745106, 42.899488]}",1292,2141,1002
ALBANY,10138,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",COLONIAL ACRES NURSERY,GILLESPIE GARY F,518-456-5348,2552,WESTERN AVENUE,,,ALTAMONT,NY,12009,"{'type': 'Point', 'coordinates': [-73.92922300000001, 42.712952]}",72,2030,832
SARATOGA,413099,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",BALET FLOWERS & DESIGN LLC,BALET FLOWERS & DESIGN LLC,518-584-8555,5041,NELSON AVENUE EXT,,,MALTA,NY,12020,"{'type': 'Point', 'coordinates': [-73.763096, 43.039153]}",1148,2141,1001
RENSSELAER,387054,Nursery Stock Only,11-100 Acres,,SARATOGA SOD FARM INC,SARATPGA SPD FARM INC,518-664-5038,647,STILLWATER BRIDGE ROAD,,,RENSSELAER,NY,12154,"{'type': 'Point', 'coordinates': [-73.632044, 42.922104]}",1401,2138,113
TOMPKINS,644486,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",EARLYBIRD FARM,GEORGE SHELDRAKE,607-272-1056,1100,ELMIRA RD,,,ITHACA,NY,14850,"{'type': 'Point', 'coordinates': [-76.54838778899995, 42.393876404000025]}",54,2181,708
GREENE,645462,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",STONELEDGE FARM LLC,DEBORAH AND PETE KAVAKOS,518-622-3003,359,ROSS RULAND ROAD,,,SOUTH CAIRO,NY,12482,"{'type': 'Point', 'coordinates': [-73.967242, 42.268159]}",333,2087,761
MONTGOMERY,645913,Nursery Stock Only,10 Acres or Less,,FAMILY TRADITIONS TREE FARM LLC,ANDREA HERNIGLE,518-705-9027,869,ST HIGHWAY 334,,,FONDA,NY,12068,"{'type': 'Point', 'coordinates': [-74.416246, 42.962797]}",1217,624,484
WARREN,645210,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",CALDWELL COUNTRY STORE LLC,HILDY MONROE,,292,E. SCHROON RIVER RD,,,DIAMOND POINT,NY,12824,"{'type': 'Point', 'coordinates': [-73.746457, 43.508637]}",90,2183,820
BROOME,645066,Nursery Stock Only,10 Acres or Less,"2,000 SqFt of Glass or Less",JULIE ANNS VEGETABLE AND HONEY FARM,JULIE MARKOFF,607-775-2057,89,FROST ROAD,,,WINDSOR,NY,13865,"{'type': 'Point', 'coordinates': [-75.76837000000002, 42.087445]}",474,2033,936
ORANGE,643933,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",WILLIAM A SCHMID,WILLIAM A SCHMID,914-355-1189,91,SCHMID RD,,,NEW HAMPTON,NY,10958,"{'type': 'Point', 'coordinates': [-74.435909, 41.366911]}",1547,2134,884
WARREN,644164,Nursery Stock Only,10 Acres or Less,,LAZY K CHRISTMAS TREE FARM,TIMOTHY COSTELLO,518-543-6590,264,SUMMIT DR,,,HAGUE,NY,12836,"{'type': 'Point', 'coordinates': [-73.564475, 43.768809]}",98,2183,823
CAYUGA,57205,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",GRISAMORE FARMS LLC,GRISAMORE FARMS LLC,315-497-1347,749,COWAN ROAD,,,LOCKE,NY,13092,"{'type': 'Point', 'coordinates': [-76.474471, 42.64928700000001]}",639,618,81
SUFFOLK,474231,Nursery Stock Only,11-100 Acres,,BARBATO NURSERY CORP,BARBATO NURSERY CORP,631-285-6767,,WADING RIVER ROAD,,,WADING RIVER,NY,11792,"{'type': 'Point', 'coordinates': [-72.833787, 40.94950500000001]}",1432,2179,1017
ULSTER,514099,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",SAUNDERKILL FARM,SCHOONMAKER JOHN&DAN&DAVID,845-626-2676,5100,ROUTE 209,,,ACCORD,NY,12404,"{'type': 'Point', 'coordinates': [-74.238428, 41.791075]}",80,2182,413
NIAGARA,290837,Nursery Stock Only,10 Acres or Less,,VANBUREN ENTERPRISES,VANBUREN BRIAN,716-913-5957,6865,WOLCOTTSVILLE RD,,,AKRON,NY,14001,"{'type': 'Point', 'coordinates': [-78.518823, 43.09363]}",480,2131,155
DUTCHESS,133300,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",SUNNY GARDEN GREENHOUSES,SUNNY GARDEN GREENHOUSES INC,845-297-4400,2238,ROUTE 9D,,,WAPPINGERS FALLS,NY,12590,"{'type': 'Point', 'coordinates': [-73.932993, 41.57282]}",1018,2040,604
ALBANY,644552,Combined Nursery and Greenhouse,10 Acres or Less,"20,001 SqFt of Glass or More",M & K GREENHOUSES INC,MARK AND KIM VERSTANDIG,585-748-0234,139,CREBLE ROAD,,,SELKIRK,NY,12158,"{'type': 'Point', 'coordinates': [-73.822023, 42.561788]}",1405,2030,837
STEUBEN,644580,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",DAVIDS PRODUCE,DAVID HYER,607-794-7043,6719,ROUTE 415 S.,,,BATH,NY,14810,"{'type': 'Point', 'coordinates': [-77.29082896199998, 42.32562401900003]}",1757,2178,46
ERIE,141962,Combined Nursery and Greenhouse,11-100 Acres,"2,000 SqFt of Glass or Less",BOSTON HILL NURSERY INC,BOSTON HILL NURSERY INC,716-662-7411,7421,OLD LOWER EAST HILL ROAD,,,COLDEN,NY,14033,"{'type': 'Point', 'coordinates': [-78.71052200000001, 42.691306]}",497,2041,302
ERIE,143541,Nursery Stock Only,101 Acres or More,,SCHICHTELS NURSERY INC,SCHICHTELS NURSERY INC,716-592-9383,,HOFFMAN ROAD,SCHUE NURSERY,,SPRINGVILLE,NY,14141,"{'type': 'Point', 'coordinates': [-78.702261, 42.522613]}",5,2041,294
KINGS,611610,Combined Nursery and Greenhouse,10 Acres or Less,"20,001 SqFt of Glass or More",BROOKLYN BOTANIC GARDEN,BROOKLYN BOTANIC GARDEN CORP,718-623-7200,1000,WASHINGTON AVENUE,,,BROOKLYN,NY,11225,"{'type': 'Point', 'coordinates': [-73.961805, 40.667603]}",809,2090,894
ERIE,645376,Nursery Stock Only,10 Acres or Less,,THE ENGLISH GARDENER LTD,JOSEPH HAN,716-833-8000,4000,HARLEM ROAD,,,BUFFALO,NY,14226,"{'type': 'Point', 'coordinates': [-78.784052, 42.95247]}",161,2041,304
